Modelis,Mėnesio kaina,Kaina
Samsung Galaxy Flip5,"42,88 €/mėn.",1 029 €
Samsung Galaxy Fold5,"70,80 €/mėn.",1 699 €
Samsung Galaxy A54 5G,"12,05 €/mėn.",289 €
Samsung Galaxy S22,"20,38 €/mėn.",489 €
Samsung Galaxy S23 Ultra,"49,96 €/mėn.",1 199 €
Samsung Galaxy S23,"32,46 €/mėn.",779 €
Xiaomi Redmi Note 12 Pro 5G,"8,30 €/mėn.",199 €
Xiaomi Redmi Note 12 Pro+,"12,46 €/mėn.",299 €
Apple iPhone 13,"29,13 €/mėn.",699 €
Apple iPhone 14,"32,88 €/mėn.",789 €
Apple iPhone 14 Pro,"46,21 €/mėn.",1 109 €
Apple iPhone 14 Pro Max,"52,05 €/mėn.",1 249 €
Xiaomi Redmi Note 12S,"8,71 €/mėn.",209 €
Xiaomi Redmi Note 12,"6,21 €/mėn.",149 €
Apple iPhone 14 Plus,"38,30 €/mėn.",919 €
Samsung Galaxy A34 5G,"14,96 €/mėn.",359 €
Samsung Galaxy S23+,"43,30 €/mėn.",1 039 €
Sony Xperia 1 V,"45,80 €/mėn.",1 099 €
Sony Xperia 10 V,"14,55 €/mėn.",349 €
Apple iPhone 13 mini,"30,38 €/mėn.",729 €
Samsung Galaxy Flip4 5G,"27,05 €/mėn.",649 €
Samsung Galaxy Fold4 5G,"62,46 €/mėn.",1 499 €
Nokia G22,"7,46 €/mėn.",179 €
OnePlus Nord CE2 Lite,"8,30 €/mėn.",199 €
Nothing Phone 2,"30,38 €/mėn.",729 €
Xiaomi Redmi 12,"6,63 €/mėn.",159 €
Xiaomi Redmi 12C,"4,96 €/mėn.",119 €
Xiaomi POCO X5 Pro,"12,46 €/mėn.",299 €
Xiaomi POCO F5,"20,80 €/mėn.",499 €
CAT® S75,"20,80 €/mėn.",499 €
Xiaomi Redmi A2,"3,30 €/mėn.",79 €
Asus Zenfone 10,"24,96 €/mėn.",599 €
Asus ROG Phone 7,"41,63 €/mėn.",999 €
Samsung Galaxy S21 FE,"26,21 €/mėn.",629 €
OnePlus 10T,"18,71 €/mėn.",449 €
OnePlus 11,"36,63 €/mėn.",879 €
Apple iPhone 11,"19,96 €/mėn.",479 €
Xiaomi POCO C40,"4,55 €/mėn.",109 €
Nokia 105 4G,"1,63 €/mėn.",39 €
Nokia 225 4G (2020),"2,46 €/mėn.",59 €
Nokia 8210,"2,88 €/mėn.",69 €
Nokia 2660 Flip,"3,71 €/mėn.",89 €
CAT® S42 H+,"7,88 €/mėn.",189 €
Samsung Galaxy A14 4G,"8,30 €/mėn.",199 €
Samsung Galaxy A14 5G,"9,55 €/mėn.",229 €
Samsung Galaxy XCover 5,"10,38 €/mėn.",249 €
Xiaomi POCO X5 5G,"11,21 €/mėn.",269 €
CAT® S62 Pro,"22,88 €/mėn.",549 €
Apple iPhone SE (2022),"23,30 €/mėn.",559 €
Xiaomi POCO F5 Pro,"24,96 €/mėn.",599 €
Samsung Galaxy Xcover6 Pro,"25,38 €/mėn.",609 €
Apple iPhone 12,"32,05 €/mėn.",769 €
Sony Xperia 5 IV,"37,46 €/mėn.",899 €
Sony Xperia 1 IV,"45,80 €/mėn.",1 099 €
Xiaomi 12T,"22,88 €/mėn.",549 €
Xiaomi 13,"29,13 €/mėn.",699 €
Samsung Galaxy A13 (A137) 128GB,"5,38 €/mėn.",129 €
Nothing Phone 1,"16,63 €/mėn.",399 €
CAT® B40,"3,30 €/mėn.",79 €
Nokia 800 Tough,"4,55 €/mėn.",109 €
Xiaomi POCO M5s,"7,05 €/mėn.",169 €
Samsung Galaxy A13 5G,"7,46 €/mėn.",179 €
Samsung Galaxy A23 5G,"9,13 €/mėn.",219 €
Samsung Galaxy A33,"12,46 €/mėn.",299 €
Samsung Galaxy A53 5G,"14,55 €/mėn.",349 €
Sony Xperia 10 IV,"14,55 €/mėn.",349 €
Nothing Phone 1 8GB,"17,88 €/mėn.",429 €
Xiaomi 13 Lite,"18,30 €/mėn.",439 €
