KATEGORIJA,ANTRAŠTĖ,NUORODA
Lietuvoje,"Iliuzijų dėl kontrpuolimo – vis mažiau: ką raginimai ruoštis ilgam karui reiškia Ukrainai, Rusijai ir Lietuvai",https://m.delfi.lt/lietuvoje/article.php?id=94549117
Verslas,Per pandemiją atlaisvinti finansinės drausmės pančiai vėl bus suveržti: valstybės biudžetą teks skaičiuoti atidžiau,https://m.delfi.lt/verslas/verslas/article.php?id=94498289
Lietuvoje,Prieš teismą stojo rekordinio kyšio paėmimu kaltinamas vienas buvusių Kauno vadovų: teigė norėjęs gauti 300 tūkst. eurų,https://m.delfi.lt/lietuvoje/article.php?id=94553095
Lietuvoje,Po kelių lietingų dienų – naujas šilumos pliūpsnis,https://m.delfi.lt/lietuvoje/article.php?id=94553065
Užsienyje,Prieš pat rinkimus – skandalas Lenkijoje,https://m.delfi.lt/uzsienyje/article.php?id=94551407
Moterys,Už ką buvusią bulvarinio žurnalo redaktorę norėjo primušti Rolandas Skaisgirys: mes ne vienam sugadinome gyvenimą,https://m.delfi.lt/moterys/kasdienybes-herojai/article.php?id=94553983
Verslas,Veiklą nutraukia smulkiausias nepriklausomas elektros tiekėjas,https://m.delfi.lt/verslas/energetika/article.php?id=94553345
Užsakomasis turinys,"Tyrimas namų sąlygomis leis pasitikrinti, ar netrūksta organizmui šių svarbių rūgščių",https://m.delfi.lt/uzsakomasis-turinys/article.php?id=94547413
Lietuvoje,Pateikė daugiau detalių apie seksualinį išpuolį prieš nepilnametę Vilniuje: vairuotojas – vis dar ieškomas,https://m.delfi.lt/lietuvoje/article.php?id=94553637
Sportas,Rusijos plaukikas nesutinka pasmerkti karo: rizikuotume visam gyvenimui likti neutraliais atletais,https://m.delfi.lt/sportas/kitos-sporto-sakos/article.php?id=94553793
Užsienyje,Jungtinėse Valstijose – neeilinis incidentas: rastos dingusio naikintuvo nuolaužos,https://m.delfi.lt/uzsienyje/article.php?id=94553859
Užsienyje,Karas Ukrainoje.  Prie Bachmuto sunaikinti elitiniai rusų okupantų daliniai,https://m.delfi.lt/uzsienyje/article.php?id=94553205
Lietuvoje,"Žemaitaitis apie apkaltos iniciatyvą: labai džiaugiuosi, bus proga pasikelti reitingus",https://m.delfi.lt/lietuvoje/article.php?id=94554621
Veidai,"Kim Kardashian viešoje vietoje teko tramdyti sūnų: paviešintas kadras, kaip septynmetis paparacams rodo nepadorų gestą",https://m.delfi.lt/veidai/article.php?id=94545481
SuTaupyk,"Gerųjų bakterijų šaltinis: dietistė papasakojo apie vertingiausius maisto produktus, kuriuos į kasdienę mitybą verta įtraukti jau šiandien",https://m.delfi.lt/projektai/sutaupyk/article.php?id=94505501
Būstas,"Ženklai, kurie reiškia, kad jūsų namuose yra nepageidaujamų svečių: ne tik erzina, bet ir platina ligas",https://m.delfi.lt/bustas/patarimai/article.php?id=94548979
Lietuvoje,Žada keisti mokėjimo už darbą tvarką: tai – ne vienintelis laukiantis pokytis,https://m.delfi.lt/lietuvoje/article.php?id=94543543
Užsienyje,Naktį virš Ukrainos numušti 27 dronai,https://www.delfi.lt/news/daily/world/nakti-virs-ukrainos-numusti-27-dronai.d?id=94554829
